1161,docs: add llms.txt support for improved AI accessibility,bstncartwright,2025-07-20T02:46:25Z,https://github.com/sst/opencode/pull/1161
1137,feat(config): add option to disable AI attribution in commits and PRs,antgonzales,2025-07-18T22:07:52Z,https://github.com/sst/opencode/pull/1137
1123,test: Defines symbols for successful test build,theoboldalex,2025-07-18T15:22:07Z,https://github.com/sst/opencode/pull/1123
1121,Restore Messages after send chat error,Landro3,2025-07-18T13:06:52Z,https://github.com/sst/opencode/pull/1121
1099,fix(tui): remove mode left-border in statusbar,alcpereira,2025-07-17T15:30:43Z,https://github.com/sst/opencode/pull/1099
1056,fix(tui): remove extra newline after exiting /editor,AdiY00,2025-07-16T14:45:25Z,https://github.com/sst/opencode/pull/1056
1041,feat(compact): use small model to summarize in /compact,timoclsn,2025-07-16T06:26:42Z,https://github.com/sst/opencode/pull/1041
1027,feat: Add retry mechanism for Anthropic overloaded errors,tito,2025-07-15T18:24:11Z,https://github.com/sst/opencode/pull/1027
1024,support multiple prompt {file:...} directives,nrbrd,2025-07-15T17:51:39Z,https://github.com/sst/opencode/pull/1024
1022,chore(docs): Improve Data Storage Clarity and Accessibility,thisguymartin,2025-07-15T16:15:56Z,https://github.com/sst/opencode/pull/1022
973,fix: Use model cost defined in config, if set.,AurelienTollard,2025-07-14T14:33:34Z,https://github.com/sst/opencode/pull/973
952,Added recursive AGENTS.md loading from child dirs,opencode-agent[bot],2025-07-13T20:50:34Z,https://github.com/sst/opencode/pull/952
933,Add support for LLM Gateway w/ Anthropic,Karrq,2025-07-12T19:11:33Z,https://github.com/sst/opencode/pull/933
899,Feature/status bar git head,agileandy,2025-07-11T23:48:45Z,https://github.com/sst/opencode/pull/899
871,(feat): case insensitive search on the grep tool,rclark72,2025-07-11T04:04:32Z,https://github.com/sst/opencode/pull/871
859,Fix Documentation on Modes - Update modes.mdx,brendancopley,2025-07-10T21:30:28Z,https://github.com/sst/opencode/pull/859
822,Improve system theme,joshmedeski,2025-07-10T04:37:02Z,https://github.com/sst/opencode/pull/822
816,chore:unused deps,yoshi-taka,2025-07-10T02:17:11Z,https://github.com/sst/opencode/pull/816
799,add otel for perf debugging,Schniz,2025-07-09T13:17:14Z,https://github.com/sst/opencode/pull/799
791,feat(server): add scalar ui support for api documentation,braden-w,2025-07-09T05:03:45Z,https://github.com/sst/opencode/pull/791
790,feat(server): add swagger ui support for api documentation,braden-w,2025-07-09T05:03:44Z,https://github.com/sst/opencode/pull/790
